distance,eventid1,eventid2
589.6286606568411,202009240028.0,202009260005.0
5.09783083867386,202009240028.0,202009260011.0
590.3738737743311,202009240028.0,202009270009.0
71.97496061665386,202009240028.0,202009280035.0
137.2007302071443,202009240028.0,202010010015.0
594.3725935022068,202009260005.0,202009260011.0
13.279100086035704,202009260005.0,202009270009.0
605.2607473416078,202009260005.0,202009280035.0
551.4173953442647,202009260005.0,202010010015.0
435.83547536496854,202009260005.0,202010030006.0
595.1584387549296,202009260011.0,202009270009.0
69.50860882233496,202009260011.0,202009280035.0
137.39426291349577,202009260011.0,202010010015.0
236.23132906453145,202009260011.0,202010030006.0
607.553777989299,202009270009.0,202009280035.0
555.1936847085711,202009270009.0,202010010015.0
432.1218436468429,202009270009.0,202010030006.0
85.00431505758804,202009280035.0,202010010015.0
289.19821989563013,202009280035.0,202010030006.0
346.1553313924274,202009280035.0,202010050017.0
346.1553313924274,202009280035.0,202010050018.0
300.82501467440915,202010010015.0,202010030006.0
360.6512532999382,202010010015.0,202010050017.0
360.6512532999382,202010010015.0,202010050018.0
300.82501467440915,202010010015.0,202010060010.0
76.48839377710297,202010010015.0,202010070013.0
59.91513902255815,202010030006.0,202010050017.0
59.91513902255815,202010030006.0,202010050018.0
0.0,202010030006.0,202010060010.0
300.9957963243512,202010030006.0,202010070013.0
325.54698298833586,202010030006.0,202010090003.0
272.42855903055835,202010030006.0,202010090006.0
325.54698298833586,202010030006.0,202010090019.0
421.4983751418451,202010030006.0,202010100039.0
0.0,202010050017.0,202010050018.0
59.91513902255815,202010050017.0,202010060010.0
359.9594416910015,202010050017.0,202010070013.0
383.2153454446053,202010050017.0,202010090003.0
331.72096282983387,202010050017.0,202010090006.0
383.2153454446053,202010050017.0,202010090019.0
474.5292289543628,202010050017.0,202010100039.0
60.44816448944734,202010050017.0,202010120008.0
59.91513902255815,202010050018.0,202010060010.0
359.9594416910015,202010050018.0,202010070013.0
383.2153454446053,202010050018.0,202010090003.0
331.72096282983387,202010050018.0,202010090006.0
383.2153454446053,202010050018.0,202010090019.0
474.5292289543628,202010050018.0,202010100039.0
60.44816448944734,202010050018.0,202010120008.0
300.9957963243512,202010060010.0,202010070013.0
325.54698298833586,202010060010.0,202010090003.0
272.42855903055835,202010060010.0,202010090006.0
325.54698298833586,202010060010.0,202010090019.0
421.4983751418451,202010060010.0,202010100039.0
85.82822466596423,202010060010.0,202010120008.0
154.95827002823114,202010070013.0,202010090003.0
30.367974401034704,202010070013.0,202010090006.0
154.95827002823114,202010070013.0,202010090019.0
275.71527763384836,202010070013.0,202010100039.0
356.21116092212566,202010070013.0,202010120008.0
462.85226517657344,202010070013.0,202010140040.0
145.21596132631262,202010090003.0,202010090006.0
0.0,202010090003.0,202010090019.0
125.15920751429314,202010090003.0,202010100039.0
403.54009095785966,202010090003.0,202010120008.0
594.8884168668372,202010090003.0,202010140040.0
75.70151226159467,202010090003.0,202010150029.0
367.40445017806513,202010090003.0,202010170033.0
408.55321914259395,202010090003.0,202010170035.0
145.21596132631262,202010090006.0,202010090019.0
269.46041614665677,202010090006.0,202010100039.0
330.3605855412804,202010090006.0,202010120008.0
457.4289558981434,202010090006.0,202010140040.0
214.3380838122529,202010090006.0,202010150029.0
125.15920751429314,202010090019.0,202010100039.0
403.54009095785966,202010090019.0,202010120008.0
594.8884168668372,202010090019.0,202010140040.0
75.70151226159467,202010090019.0,202010150029.0
504.8275929999859,202010100039.0,202010120008.0
719.2849833606997,202010100039.0,202010140040.0
81.69229352037665,202010100039.0,202010150029.0
457.2662740250646,202010100039.0,202010170033.0
510.7666592325997,202010100039.0,202010170035.0
343.9144527209047,202010120008.0,202010140040.0
423.3872532999176,202010120008.0,202010150029.0
74.06285837059242,202010120008.0,202010170033.0
7.9629745032817585,202010120008.0,202010170035.0
364.89387820489907,202010120008.0,202010180026.0
649.7695844481092,202010140040.0,202010150029.0
414.75777808265906,202010140040.0,202010170033.0
336.6183889762328,202010140040.0,202010170035.0
43.701410862730626,202010140040.0,202010180026.0
432.3708381412334,202010140040.0,202010200014.0
284.51024718928335,202010140040.0,202011250001.0
375.6809976383497,202010150029.0,202010170033.0
429.40407367321035,202010150029.0,202010170035.0
643.1897963016796,202010150029.0,202010180026.0
297.24340006644167,202010150029.0,202010200014.0
598.718209405247,202010150029.0,202010220004.0
395.22727177169185,202010150029.0,202011250001.0
82.00185506806565,202010170033.0,202010170035.0
433.2057665950289,202010170033.0,202010180026.0
81.25366701787662,202010170033.0,202010200014.0
346.116023029386,202010170033.0,202010220004.0
150.45069358658455,202010170033.0,202011250001.0
357.98862936593827,202010170035.0,202010180026.0
136.09427639758272,202010170035.0,202010200014.0
267.4271340752858,202010170035.0,202010220004.0
102.51948027348715,202010170035.0,202011250001.0
443.16166510620593,202010180026.0,202010200014.0
98.7623215990361,202010180026.0,202010220004.0
295.0142599828112,202010180026.0,202011250001.0
367.2033858197988,202010200014.0,202010220004.0
97.13016695772349,202010200014.0,202010260010.0
136.60237823162674,202010200014.0,202010270020.0
138.10979530263785,202010200014.0,202010270021.0
202.81631717847225,202010200014.0,202010270022.0
110.06345065509159,202010200014.0,202010270023.0
111.69502823492128,202010200014.0,202010270024.0
163.31171866019739,202010200014.0,202010270025.0
177.74892579246102,202010200014.0,202010270026.0
148.28663758751674,202010200014.0,202011250001.0
334.81685772304303,202010220004.0,202010260010.0
254.55292060437944,202010220004.0,202010270020.0
245.889245108513,202010220004.0,202010270021.0
230.45389127396004,202010220004.0,202010270022.0
285.6819910017137,202010220004.0,202010270023.0
285.0334660553536,202010220004.0,202010270024.0
204.00725817118047,202010220004.0,202010270025.0
227.0480460233021,202010220004.0,202010270026.0
220.73823610042191,202010220004.0,202011250001.0
80.3026118409861,202010260010.0,202010270020.0
89.73352669432018,202010260010.0,202010270021.0
