cluster1,cluster2,distance(km),normalized_distance,1/std_distance
0,1,138.7727532584528,0.9789587232725936,1.0214935279978576
0,2,203.71626891021018,1.4370963596202067,0.6958475632519717
0,3,412.52561544292706,2.910121333826387,0.3436282839400188
0,4,243.22408982099543,1.7158003920038027,0.5828183771610793
0,5,156.98606815038534,1.1074427597603682,0.902981207097677
0,6,200.95499166011794,1.417617201155162,0.7054090477917017
0,7,114.03675930686569,0.8044610896295907,1.2430682016708154
0,8,293.3960577307909,2.0697335993213217,0.4831539674129589
0,9,595.5819476046378,4.201474203984107,0.2380116957642477
0,10,128.9741690645562,0.9098355759176444,1.0990996906132378
0,11,87.16925651273688,0.6149269367409647,1.6262094571753094
0,12,157.2973354914517,1.1096385645682418,0.9011943455562019
0,13,157.011772265033,1.1076240869061331,0.9028333816694492
0,14,202.28364046386102,1.4269900233126034,0.7007757473164443
0,15,318.9280206207204,2.2498463174628864,0.444474803562442
0,16,180.18508241313896,1.271097921530855,0.7867214500639286
0,17,113.0213093230633,0.7972976977075543,1.2542366582460596
0,18,667.9247104442122,4.7118091010337055,0.21223270691943225
0,19,340.1954406440797,2.3998752378705865,0.41668832788462024
0,20,366.17301290402014,2.583131463434907,0.38712702553289896
0,21,320.46357084289764,2.2606787053036315,0.44234503454823765
0,22,503.82355544932665,3.5541736617327566,0.28135935246126176
0,23,66.74539240678334,0.4708487984898641,2.1238240454414727
0,24,179.72977024345852,1.26788596666324,0.7887144635189479
0,25,51.33494524061549,0.36213731638246044,2.761383471853754
0,26,217.22120881837546,1.5323656284063347,0.6525857676930559
0,27,493.0653045961488,3.478280640425768,0.2874983658240965
0,28,128.08633414608462,0.9035724319080632,1.106718138675736
0,29,42.05110445520997,0.29664537571727784,3.37102844627878
0,30,288.86675507464537,2.0377820797221,0.4907296074251344
0,31,24.133441957006415,0.1702469899289483,5.8738189756972785
0,32,40.64935424427653,0.28675686688091584,3.4872748153413156
0,33,442.40545464295644,3.120905717273571,0.3204198045667339
0,34,175.12913403776687,1.235431231562773,0.8094339647987031
0,35,426.8439637897493,3.0111287123488246,0.33210137975800846
0,36,38.82011137574031,0.2738526531855762,3.6515987278836044
0,37,93.2895096678069,0.6581016599781248,1.519522075104992
0,38,181.86641756689454,1.2829587348163596,0.7794482962409062
0,39,398.156406852516,2.808755166723627,0.3560296076523059
0,40,233.7922876808161,1.6492646725307347,0.6063308192162618
0,41,273.1257874580142,1.9267389736423852,0.5190116635828255
0,42,417.7253528946702,2.9468023696751957,0.3393508876912647
0,43,208.50955951893232,1.4709101562366784,0.679851176334589
0,44,366.6163900008633,2.5862592235064072,0.3866588433638205
0,45,523.7511406329704,3.6947508491937073,0.2706542445800443
0,46,329.03864107064845,2.3211706938606174,0.43081708839636434
0,47,413.74394062876746,2.9187158888846114,0.34261642382128205
0,48,72.85876224156466,0.5139749640218301,1.9456200593411141
0,49,59.47474268890394,0.4195587159768985,2.383456622207466
0,50,140.6264556169372,0.9920354840313107,1.0080284587566606
0,51,259.92481404018736,1.8336140065315663,0.5453710521613997
0,52,215.55527437321814,1.5206134579031694,0.6576293237460474
0,53,508.32238458710015,3.5859102088972703,0.2788692247560536
0,54,220.98341143323333,1.5589057162986224,0.6414756130180492
0,55,118.78039286883964,0.8379245854993767,1.19342482283657
0,56,145.9274023249395,1.0294304906125893,0.9714109006086696
0,57,161.54728315934304,1.1396194019101775,0.8774859381332453
0,58,54.75651262643427,0.38627442659294964,2.588833044994163
0,59,281.74491797000536,1.987541781136044,0.503134077225998
0,60,267.2807391404941,1.8855056558330223,0.5303617079622054
0,61,117.72718862457118,0.8304948598644453,1.2041013717571012
0,62,166.06225674059053,1.1714698384614772,0.8536284650002828
0,63,402.72476552231205,2.840982203125403,0.35199094133707926
0,64,395.11441386923326,2.7872957267601324,0.3587706860091123
0,65,188.1708873285485,1.32743299596534,0.7533336922009964
0,66,647.2677555698768,4.566086646908892,0.21900591848754578
0,67,386.4633429640789,2.7262675989079903,0.36680185041283225
0,68,237.95942783465685,1.6786613524186393,0.5957127675330022
0,69,106.02821407238433,0.7479655958533935,1.336959888989342
0,70,545.8116349560931,3.8503744341571413,0.2597150009954559
